Layer 1 ("path_1"): [1.0, 1.1] to [512.8, 513.0]
Layer 2 ("path_2"): [144.0, 289.1] to [386.2, 366.2]
Layer 3 ("path_3"): [148.5, 259.9] to [380.9, 317.5]
Layer 4 ("path_4"): [215.9, 351.6] to [301.4, 414.0]
Layer 5 ("path_5"): [160.7, 225.4] to [248.0, 285.9]
Layer 6 ("path_6"): [101.9, 163.0] to [175.0, 236.5]
Layer 7 ("path_7"): [131.7, 332.7] to [202.9, 396.9]
Layer 8 ("path_8"): [252.3, 232.2] to [333.1, 270.1]
Layer 9 ("path_9"): [221.2, 108.5] to [269.8, 165.0]
Layer 10 ("path_10"): [295.9, 233.4] to [372.9, 274.7]
Layer 11 ("path_11"): [341.6, 379.3] to [390.0, 436.1]
Layer 12 ("path_12"): [241.0, 402.3] to [294.6, 449.8]
Layer 13 ("path_13"): [170.9, 177.4] to [258.8, 235.1]
Layer 14 ("path_14"): [274.0, 395.8] to [314.9, 454.0]
Layer 15 ("path_15"): [150.5, 59.9] to [204.9, 127.8]
Layer 16 ("path_16"): [236.4, 198.0] to [266.6, 263.3]
Layer 17 ("path_17"): [116.3, 224.0] to [203.9, 251.0]
Layer 18 ("path_18"): [244.1, 82.4] to [300.9, 122.0]
Layer 19 ("path_19"): [134.9, 393.0] to [185.2, 450.6]
Layer 20 ("path_20"): [125.1, 376.0] to [167.0, 424.0]
Layer 21 ("path_21"): [235.0, 96.4] to [280.0, 136.1]
Layer 22 ("path_22"): [157.0, 86.5] to [199.7, 136.1]
Layer 23 ("path_23"): [380.8, 382.0] to [412.0, 437.5]
Layer 24 ("path_24"): [169.9, 350.4] to [210.0, 400.7]
Layer 25 ("path_25"): [191.0, 80.0] to [224.2, 121.7]
Layer 26 ("path_26"): [312.5, 344.9] to [348.1, 402.1]
Layer 27 ("path_27"): [377.8, 282.2] to [399.0, 340.6]
Layer 28 ("path_28"): [292.2, 354.3] to [315.9, 401.6]
Layer 29 ("path_29"): [387.0, 331.0] to [405.1, 382.8]
Layer 30 ("path_30"): [280.6, 96.8] to [303.5, 131.5]
Layer 31 ("path_31"): [370.1, 247.1] to [393.3, 289.0]
Layer 32 ("path_32"): [265.9, 120.9] to [288.9, 151.9]
Layer 33 ("path_33"): [354.5, 242.3] to [382.6, 268.0]
Layer 34 ("path_34"): [136.9, 132.9] to [167.1, 151.2]
Layer 35 ("path_35"): [244.2, 161.6] to [263.2, 186.9]
Layer 36 ("path_36"): [248.9, 142.3] to [274.2, 165.0]
Layer 37 ("path_37"): [304.8, 346.1] to [314.0, 368.0]
Layer 38 ("path_38"): [132.5, 143.1] to [138.9, 167.0]
Layer 39 ("path_39"): [393.1, 322.7] to [402.3, 348.2]
Layer 40 ("path_40"): [163.9, 240.5] to [181.3, 255.1]
Layer 41 ("path_41"): [162.7, 248.0] to [176.6, 260.0]
Layer 42 ("path_42"): [204.8, 350.0] to [213.0, 363.4]
Layer 43 ("path_43"): [354.4, 238.9] to [373.0, 244.6]
Layer 44 ("path_44"): [158.2, 276.1] to [168.6, 291.0]
Layer 45 ("path_45"): [385.8, 277.9] to [392.9, 284.6]
Layer 46 ("path_46"): [159.0, 270.0] to [170.1, 278.2]
Layer 47 ("path_47"): [389.0, 287.2] to [395.3, 294.2]
Layer 48 ("path_48"): [261.2, 154.0] to [270.4, 158.9]
Layer 49 ("path_49"): [206.4, 75.0] to [207.9, 80.0]
Layer 50 ("path_50"): [134.9, 139.0] to [137.0, 141.0]
Layer 51 ("path_51"): [260.5, 177.1] to [262.1, 179.6]
Layer 52 ("path_52"): [397.1, 300.6] to [398.5, 301.7]
Layer 53 ("path_53"): [133.9, 141.1] to [135.3, 143.0]
Layer 54 ("path_54"): [158.2, 268.3] to [159.1, 269.0]
Layer 55 ("path_55"): [393.9, 287.1] to [394.9, 287.3]
Layer 56 ("path_56"): [331.0, 332.9] to [389.8, 394.1]
Layer 57 ("path_57"): [309.1, 335.5] to [329.0, 352.0]
Layer 58 ("path_58"): [162.5, 313.0] to [163.2, 314.5]
Layer 59 ("path_59"): [363.3, 332.6] to [364.0, 333.2]
Layer 60 ("path_60"): [161.0, 338.0] to [161.1, 338.0]
Layer 61 ("path_61"): [169.2, 276.3] to [170.0, 277.8]
Layer 62 ("path_62"): [178.5, 279.8] to [179.0, 281.2]
Layer 63 ("path_63"): [156.9, 300.6] to [157.6, 301.7]
Layer 64 ("path_64"): [167.0, 301.3] to [167.4, 302.1]
Layer 65 ("path_65"): [333.9, 273.9] to [334.7, 274.5]
Layer 66 ("path_66"): [170.4, 275.2] to [170.9, 276.1]
Layer 67 ("path_67"): [372.5, 270.5] to [372.5, 270.5]
Layer 68 ("path_68"): [172.3, 278.7] to [173.0, 279.8]
Layer 69 ("path_69"): [286.5, 294.5] to [286.5, 294.5]
Layer 70 ("path_70"): [174.5, 302.6] to [174.5, 302.6]
Layer 71 ("path_71"): [291.7, 400.3] to [293.8, 403.8]
Layer 72 ("path_72"): [214.0, 199.5] to [238.1, 234.1]
Layer 73 ("path_73"): [232.2, 216.1] to [240.7, 225.7]
Layer 74 ("path_74"): [208.1, 228.0] to [215.0, 235.7]
Layer 75 ("path_75"): [203.1, 231.7] to [208.1, 240.1]
Layer 76 ("path_76"): [173.6, 272.1] to [175.4, 274.2]
Layer 77 ("path_77"): [177.3, 246.7] to [178.7, 248.0]
Layer 78 ("path_78"): [179.0, 274.2] to [179.6, 275.2]
Layer 79 ("path_79"): [175.0, 271.3] to [175.7, 272.2]
Layer 80 ("path_80"): [170.0, 269.0] to [171.0, 269.9]
Layer 81 ("path_81"): [171.0, 269.0] to [171.2, 269.0]
Layer 82 ("path_82"): [226.2, 267.5] to [227.1, 268.1]
Layer 83 ("path_83"): [134.3, 146.0] to [243.0, 225.8]
Layer 84 ("path_84"): [141.8, 196.0] to [142.0, 196.0]
Layer 85 ("path_85"): [134.0, 181.0] to [135.0, 182.0]
Layer 86 ("path_86"): [133.8, 182.0] to [134.0, 182.4]
Layer 87 ("path_87"): [145.8, 205.0] to [146.0, 205.0]
Layer 88 ("path_88"): [133.5, 172.5] to [133.5, 172.5]
Layer 89 ("path_89"): [142.0, 232.6] to [142.3, 233.0]
Layer 90 ("path_90"): [162.0, 226.0] to [162.1, 226.0]
Layer 91 ("path_91"): [140.0, 374.0] to [141.0, 376.0]
Layer 92 ("path_92"): [141.0, 373.4] to [141.4, 374.0]
Layer 93 ("path_93"): [152.0, 380.0] to [152.3, 380.1]
Layer 94 ("path_94"): [160.9, 343.0] to [161.0, 343.0]
Layer 95 ("path_95"): [152.4, 342.7] to [153.0, 343.7]
Layer 96 ("path_96"): [272.7, 237.7] to [274.0, 238.6]
Layer 97 ("path_97"): [158.0, 121.1] to [251.6, 186.2]
Layer 98 ("path_98"): [388.9, 382.0] to [391.0, 384.0]
Layer 99 ("path_99"): [364.0, 393.0] to [364.3, 393.3]
Layer 100 ("path_100"): [292.1, 403.2] to [292.9, 403.8]
Layer 101 ("path_101"): [202.5, 216.5] to [202.5, 216.5]
